fabricante,quilometragem,modelo,comprimento_onda,tx_min,tx_max,rx_min,rx_max,budget
4LAN,300m,4L-SFP10SR,850,-5,-1,-7,"0,5",2
4LAN,10,4L-SFPLXD,1310,-9,-3,-21,-3,12
4LAN,10,4L-Q40LR4-10,1310,-5,2,-12,3,6
4LAN,10,4L-Q100LR4-10,1310,"-1,3","4,5","-10,6","4,5",8
4LAN,20,4L-PB531G-L20D,,-9,-3,-23,-3,14
4LAN,20,4L-SFB10G3327-20,BiDi,-2,3,-15,"0,5",12
4LAN,40,4L-PB531G-L40D,,-4,2,-23,-3,19
4LAN,40,4L-SFB10G3327-40,BiDi,1,5,-15,"0,5",16
4LAN,40,4L-Q40ER4-40,1550,-2,4,-15,3.3,13
4LAN,40,4L-Q100ER4-40,1550,"-2,9","4,5",-20,"-4,9",13
4LAN,40,4L-Q281GER4-L40,1550,"-2,5","6,5","-20,5",-7,18
4LAN,60,4L-PB531G-L60D,,-3,4,-25,-3,22
4LAN,60,4L-SFB10G3327-60,BiDi,1,6,-20,"0,5",21
Cisco,10,QSFP-40G-LR4,1310,-7,"2,3","-13,7","2,3","6,7"
Datacom,10,377.1401.00,,0,2,-13,-10,15
Datacom,20,377.0811.00 00,,-2,3,-15,0.5,13
Datacom,40,WXTRQP110LGAD,,-4,"2,3","-15,7","2,3","11,7"
Datacom,40,377.0812.00 00,,0,5,-15,0,15
Datacom,40,377.0813.00 00,,0,5,-15,0,15
Datacom,40,377.1428.0002,,"-2,9","2,9","-18,5","-3,4","15,6"
Datacom,60,377.0815.00   00 ,,1,5,-20,-3,21
Datacom,60,377.0188.00 ,,-2,4,-25,-1,23
Datacom,60,377.0187.00 01,,0,5,-24,0,24
Datacom,60,377.0814.00 00,,1,5,-20,-3,21
Datacom,,377714000000,,0,"4,5",-21,0,21
FS,10,SFP-10G-BX,BiDi,-6,-3,-14.4,0.5,8.4
FS,10,SFP-10G-BXD,BiDi,-8.2,0.5,-14.4,0.5,6.2
FS,40,SFP-10G-BX40,BiDi,1,5,-15,"0,5",16
Gigalight,300m,GX-85192-SRC ,850,"-7,3",-1,"-11,1",-1,"3,8"
Precision,100m,PRE-QSFP28-SR4,850,"-8,4","2,4","-10,3","2,4","1,9"
Precision,300m,PRE-XFP-SR ,850,-6,-1,-10,"0,5",4
Precision,300m,PRE-SFP10G-SR,850,-6,-1,-10,"0,5",4
Precision,10,PRE-SFP10G-10,,-6,"-0,5",-14.4,0.5,"8,4"
Precision,10,PRE-QSFP-LR4,1310,-7,"2,3","-11,5","2,3","4,5"
Precision,10,PRE-QSFP28-LR4,1310,"-4,3","4,5","-8,6","5,5","4,3"
Precision,20,PRE-XFP-B23(32)-20 ,BiDi,-9,-3,-15,"0,5",12
Precision,20,PRE-SFP-B35-20,BiDi,-9,-3,-23,-3,11
Precision,20,PRESFP10G-B32-20,BiDi,-6,3,"-14,4",0.5,"8,4"
Precision,20,PRE-SFP-B34 ,BiDi,-9,-3,-20,-3,11
Precision,40,PRE-XFP-B23(32)-40 ,BiDi,0,5,-15,"0,5",15
Precision,40,PRE-SFP-B35-40,BiDi,-5,0,-24,-1,24
Precision,40,PRESFP10G-B32-40,BiDi,0,5,-15,"0,5",15
Precision,40,PRE-QSFP-ER4,1550,"-2,7","4,5",-19,-1,"16,3"
Precision,40,PRE-QSFP28-ER4,1550,"-2,9","2,9","-20,9","4,5",18
Precision,40,PRE-QSFP28-ER4L,1550,"-2,5","6,5",-18.5,"-2,5",16
Precision,60,PRE-SFP-B35-60,BiDi,0,5,-26,-3,26
Precision,60,PRESFP10G-B32-60,BiDi,0,5,-20,-6,20
Precision,80,PRE-SFP10G-80,,-1,4,-23,-6,22
Precision,80,PRE-SFP10G-B54-80,BiDi,-1,3,-23,-6,22
Precision,80,PRE-QSFP28-ZR4,1550,2,"6,5",-28,-7,30
Skylane,40,100GBASE_ER4_Lite_QSFP28,1550,-2.9,8.9,-20.5,-4.9,"17,6"
